f,S21
0.449,0.995392082
0.45,0.995375161
0.451,0.995358238
0.452,0.995341314
0.453,0.995324389
0.454,0.995307462
0.455,0.995290534
0.456,0.995273605
0.457,0.995256675
0.458,0.995239744
0.459,0.995222813
0.46,0.995205881
0.461,0.995188948
0.462,0.995172014
0.463,0.99515508
0.464,0.995138146
0.465,0.995121212
0.466,0.995104277
0.467,0.995087342
0.468,0.995070407
0.469,0.995053473
0.47,0.995036538
0.471,0.995019604
0.472,0.99500267
0.473,0.994985737
0.474,0.994968804
0.475,0.994951871
0.476,0.99493494
0.477,0.994918009
0.478,0.994901078
0.479,0.994884149
0.48,0.994867221
0.481,0.994850294
0.482,0.994833368
0.483,0.994816443
0.484,0.994799519
0.485,0.994782597
0.486,0.994765676
0.487,0.994748757
0.488,0.994731839
0.489,0.994714923
0.49,0.994698009
0.491,0.994681097
0.492,0.994664186
0.493,0.994647277
0.494,0.994630371
0.495,0.994613466
0.496,0.994596564
0.497,0.994579663
0.498,0.994562765
0.499,0.99454587
0.5,0.994528977
0.501,0.994512086
0.502,0.994495198
0.503,0.994478312
0.504,0.99446143
0.505,0.99444455
0.506,0.994427672
0.507,0.994410798
0.508,0.994393926
0.509,0.994377058
0.51,0.994360193
0.511,0.99434333
0.512,0.994326471
0.513,0.994309615
0.514,0.994292763
0.515,0.994275914
0.516,0.994259068
0.517,0.994242225
0.518,0.994225387
0.519,0.994208551
0.52,0.99419172
0.521,0.994174892
0.522,0.994158068
0.523,0.994141248
0.524,0.994124431
0.525,0.994107619
0.526,0.99409081
0.527,0.994074006
0.528,0.994057205
0.529,0.994040409
0.53,0.994023617
0.531,0.994006829
0.532,0.993990046
0.533,0.993973266
0.534,0.993956492
0.535,0.993939721
0.536,0.993922955
0.537,0.993906194
0.538,0.993889437
0.539,0.993872685
0.54,0.993855938
0.541,0.993839195
0.542,0.993822457
0.543,0.993805724
0.544,0.993788996
0.545,0.993772272
0.546,0.993755554
0.547,0.993738841
0.548,0.993722132
0.549,0.993705429
0.55,0.993688731
0.551,0.993672038
0.552,0.993655351
0.553,0.993638668
0.554,0.993621991
0.555,0.99360532
0.556,0.993588653
0.557,0.993571992
0.558,0.993555337
0.559,0.993538687
0.56,0.993522043
0.561,0.993505404
0.562,0.993488771
0.563,0.993472144
0.564,0.993455522
0.565,0.993438906
0.566,0.993422296
0.567,0.993405692
0.568,0.993389093
0.569,0.993372501
0.57,0.993355914
0.571,0.993339334
0.572,0.993322759
0.573,0.99330619
0.574,0.993289628
0.575,0.993273072
0.576,0.993256522
0.577,0.993239978
0.578,0.99322344
0.579,0.993206908
0.58,0.993190383
0.581,0.993173864
0.582,0.993157352
0.583,0.993140846
0.584,0.993124346
0.585,0.993107853
0.586,0.993091366
0.587,0.993074886
0.588,0.993058412
0.589,0.993041945
0.59,0.993025485
0.591,0.993009031
0.592,0.992992584
0.593,0.992976143
0.594,0.992959709
0.595,0.992943282
0.596,0.992926862
0.597,0.992910449
0.598,0.992894042
0.599,0.992877643
0.6,0.99286125
0.601,0.992844864
0.602,0.992828485
0.603,0.992812114
0.604,0.992795749
0.605,0.992779391
0.606,0.99276304
0.607,0.992746697
0.608,0.99273036
0.609,0.992714031
0.61,0.992697709
0.611,0.992681394
0.612,0.992665086
0.613,0.992648785
0.614,0.992632492
0.615,0.992616206
0.616,0.992599927
0.617,0.992583656
0.618,0.992567392
0.619,0.992551135
0.62,0.992534886
0.621,0.992518644
0.622,0.99250241
0.623,0.992486183
0.624,0.992469964
0.625,0.992453752
0.626,0.992437548
0.627,0.992421351
0.628,0.992405162
0.629,0.992388981
0.63,0.992372807
0.631,0.992356641
0.632,0.992340482
0.633,0.992324331
0.634,0.992308188
0.635,0.992292052
0.636,0.992275925
0.637,0.992259805
0.638,0.992243693
0.639,0.992227588
0.64,0.992211492
0.641,0.992195403
0.642,0.992179322
0.643,0.992163249
0.644,0.992147184
0.645,0.992131127
0.646,0.992115077
0.647,0.992099036
0.648,0.992083003
0.649,0.992066977
0.65,0.99205096
0.651,0.992034951
0.652,0.992018949
0.653,0.992002956
0.654,0.991986971
0.655,0.991970994
0.656,0.991955025
0.657,0.991939064
0.658,0.991923111
0.659,0.991907166
0.66,0.991891229
0.661,0.991875301
0.662,0.991859381
0.663,0.991843469
0.664,0.991827565
0.665,0.991811669
0.666,0.991795782
0.667,0.991779903
0.668,0.991764032
0.669,0.99174817
0.67,0.991732315
0.671,0.991716469
0.672,0.991700632
0.673,0.991684802
0.674,0.991668981
0.675,0.991653169
0.676,0.991637364
0.677,0.991621568
0.678,0.991605781
0.679,0.991590002
0.68,0.991574231
0.681,0.991558469
0.682,0.991542715
0.683,0.99152697
0.684,0.991511233
0.685,0.991495504
0.686,0.991479784
0.687,0.991464073
0.688,0.99144837
0.689,0.991432675
0.69,0.991416989
0.691,0.991401312
0.692,0.991385643
0.693,0.991369983
0.694,0.991354331
0.695,0.991338688
0.696,0.991323053
0.697,0.991307427
0.698,0.99129181
0.699,0.991276201
0.7,0.991260601
0.701,0.991245009
0.702,0.991229426
0.703,0.991213852
0.704,0.991198286
0.705,0.991182729
0.706,0.991167181
0.707,0.991151641
0.708,0.99113611
0.709,0.991120588
0.71,0.991105074
0.711,0.991089569
0.712,0.991074073
0.713,0.991058586
0.714,0.991043107
0.715,0.991027637
0.716,0.991012176
0.717,0.990996723
0.718,0.990981279
0.719,0.990965844
0.72,0.990950418
0.721,0.990935001
0.722,0.990919592
0.723,0.990904192
0.724,0.990888801
0.725,0.990873419
0.726,0.990858045
0.727,0.99084268
0.728,0.990827325
0.729,0.990811977
0.73,0.990796639
0.731,0.99078131
0.732,0.990765989
0.733,0.990750677
0.734,0.990735375
0.735,0.990720081
0.736,0.990704795
0.737,0.990689519
0.738,0.990674252
0.739,0.990658993
0.74,0.990643743
0.741,0.990628502
0.742,0.99061327
0.743,0.990598047
0.744,0.990582833
0.745,0.990567628
0.746,0.990552431
0.747,0.990537244
0.748,0.990522065
0.749,0.990506896
0.75,0.990491735
0.751,0.990476583
0.752,0.99046144
0.753,0.990446306
0.754,0.990431181
0.755,0.990416065
0.756,0.990400957
0.757,0.990385859
0.758,0.99037077
0.759,0.990355689
0.76,0.990340618
0.761,0.990325555
0.762,0.990310502
0.763,0.990295457
0.764,0.990280421
0.765,0.990265395
0.766,0.990250377
0.767,0.990235368
0.768,0.990220368
0.769,0.990205377
0.77,0.990190395
0.771,0.990175422
0.772,0.990160458
0.773,0.990145503
0.774,0.990130557
0.775,0.99011562
0.776,0.990100692
0.777,0.990085773
0.778,0.990070862
0.779,0.990055961
0.78,0.990041069
0.781,0.990026186
0.782,0.990011311
0.783,0.989996446
0.784,0.98998159
0.785,0.989966742
0.786,0.989951904
0.787,0.989937075
0.788,0.989922254
0.789,0.989907443
0.79,0.98989264
0.791,0.989877847
0.792,0.989863063
0.793,0.989848287
0.794,0.989833521
0.795,0.989818763
0.796,0.989804015
0.797,0.989789275
0.798,0.989774544
0.799,0.989759823
0.8,0.98974511
0.801,0.989730407
0.802,0.989715712
0.803,0.989701026
0.804,0.98968635
0.805,0.989671682
0.806,0.989657023
0.807,0.989642374
0.808,0.989627733
0.809,0.989613101
0.81,0.989598478
0.811,0.989583865
0.812,0.98956926
0.813,0.989554664
0.814,0.989540077
0.815,0.989525499
0.816,0.98951093
0.817,0.98949637
0.818,0.989481819
0.819,0.989467277
0.82,0.989452744
0.821,0.98943822
0.822,0.989423705
0.823,0.989409199
0.824,0.989394702
0.825,0.989380214
0.826,0.989365735
0.827,0.989351264
0.828,0.989336803
0.829,0.98932235
0.83,0.989307907
