f,S21
0.433,0.991648724
0.434,0.991623303
0.435,0.9915979
0.436,0.991572515
0.437,0.991547149
0.438,0.991521803
0.439,0.991496474
0.44,0.991471165
0.441,0.991445875
0.442,0.991420604
0.443,0.991395352
0.444,0.991370119
0.445,0.991344905
0.446,0.99131971
0.447,0.991294535
0.448,0.991269379
0.449,0.991244242
0.45,0.991219125
0.451,0.991194027
0.452,0.991168949
0.453,0.99114389
0.454,0.991118851
0.455,0.991093831
0.456,0.991068832
0.457,0.991043852
0.458,0.991018891
0.459,0.990993951
0.46,0.99096903
0.461,0.99094413
0.462,0.990919249
0.463,0.990894388
0.464,0.990869547
0.465,0.990844726
0.466,0.990819926
0.467,0.990795145
0.468,0.990770385
0.469,0.990745644
0.47,0.990720924
0.471,0.990696225
0.472,0.990671545
0.473,0.990646886
0.474,0.990622247
0.475,0.990597628
0.476,0.99057303
0.477,0.990548453
0.478,0.990523895
0.479,0.990499359
0.48,0.990474842
0.481,0.990450347
0.482,0.990425871
0.483,0.990401417
0.484,0.990376983
0.485,0.990352569
0.486,0.990328176
0.487,0.990303804
0.488,0.990279453
0.489,0.990255122
0.49,0.990230812
0.491,0.990206523
0.492,0.990182254
0.493,0.990158006
0.494,0.990133779
0.495,0.990109573
0.496,0.990085388
0.497,0.990061223
0.498,0.99003708
0.499,0.990012957
0.5,0.989988855
0.501,0.989964775
0.502,0.989940714
0.503,0.989916675
0.504,0.989892657
0.505,0.98986866
0.506,0.989844684
0.507,0.989820729
0.508,0.989796794
0.509,0.989772881
0.51,0.989748989
0.511,0.989725118
0.512,0.989701268
0.513,0.989677438
0.514,0.98965363
0.515,0.989629843
0.516,0.989606077
0.517,0.989582332
0.518,0.989558609
0.519,0.989534906
0.52,0.989511224
0.521,0.989487564
0.522,0.989463924
0.523,0.989440306
0.524,0.989416708
0.525,0.989393132
0.526,0.989369577
0.527,0.989346043
0.528,0.98932253
0.529,0.989299039
0.53,0.989275568
0.531,0.989252119
0.532,0.98922869
0.533,0.989205283
0.534,0.989181897
0.535,0.989158532
0.536,0.989135188
0.537,0.989111865
0.538,0.989088563
0.539,0.989065283
0.54,0.989042024
0.541,0.989018785
0.542,0.988995568
0.543,0.988972372
0.544,0.988949197
0.545,0.988926043
0.546,0.988902911
0.547,0.988879799
0.548,0.988856709
0.549,0.988833639
0.55,0.988810591
0.551,0.988787564
0.552,0.988764558
0.553,0.988741573
0.554,0.988718609
0.555,0.988695666
0.556,0.988672744
0.557,0.988649843
0.558,0.988626963
0.559,0.988604105
0.56,0.988581267
0.561,0.98855845
0.562,0.988535655
0.563,0.98851288
0.564,0.988490127
0.565,0.988467394
0.566,0.988444683
0.567,0.988421992
0.568,0.988399322
0.569,0.988376674
0.57,0.988354046
0.571,0.98833144
0.572,0.988308854
0.573,0.988286289
0.574,0.988263745
0.575,0.988241222
0.576,0.98821872
0.577,0.988196239
0.578,0.988173779
0.579,0.988151339
0.58,0.988128921
